,Unnamed: 0,Latitude,Longitude,Date,Fire Intensity,Brightness,dist
742928,61374,34.391999999999996,-117.986,2020-09-19,2069.5,431.0,44.612449989605906
742931,61377,34.42,-117.78,2020-09-19,200.4,348.9,59.09171942589626
742933,61379,34.435,-117.98700000000001,2020-09-19,375.3,366.1,48.68322658504668
742934,61380,34.408,-117.809,2020-09-19,121.3,339.0,56.25231918880934
742945,61391,34.228,-117.88600000000001,2020-09-19,65.9,331.8,38.29845052108744
742948,61394,34.451,-118.01700000000001,2020-09-19,248.8,354.7,49.011097659655334
742949,61395,34.449,-117.984,2020-09-19,659.6,383.7,50.18060095788942
742950,61396,34.369,-117.86200000000001,2020-09-19,106.2,336.5,49.743597171672725
742951,61397,34.371,-117.895,2020-09-19,49.5,326.6,47.81411325562207
743075,61521,34.330999999999996,-117.956,2020-09-19,23.8,327.0,40.771634110288026
743076,61522,34.42,-117.779,2020-09-19,524.6,407.7,59.15810834334961
743078,61524,34.469,-117.96700000000001,2020-09-19,53.8,341.0,52.88041253759696
743079,61525,34.376999999999995,-117.876,2020-09-19,208.0,374.3,49.48787445592577
743080,61526,34.376,-117.89,2020-09-19,55.1,341.2,48.53444631898884
743081,61527,34.441,-117.99,2020-09-19,81.1,351.7,49.13603509959695
743082,61528,34.431,-117.988,2020-09-19,28.9,335.1,48.249980109105934
743083,61529,34.42,-117.98700000000001,2020-09-19,86.9,353.2,47.231970189294074
743084,61530,34.399,-117.98700000000001,2020-09-19,47.1,340.2,45.22538772007008
743085,61531,34.409,-117.988,2020-09-19,39.9,338.9,46.13009662123958
743086,61532,34.44,-118.005,2020-09-19,1398.7,458.7,48.39739229577761
743087,61533,34.388000000000005,-117.985,2020-09-19,122.1,360.0,44.2857931668472
743089,61535,34.411,-117.762,2020-09-19,26.4,327.1,59.62408878954252
743095,61541,34.427,-118.02,2020-09-19,79.7,350.0,46.487444037679765
743096,61542,34.438,-118.021,2020-09-19,355.3,394.9,47.54750502227343
743097,61543,34.385999999999996,-117.852,2020-09-19,20.4,326.1,51.73430439452336
743098,61544,34.372,-117.883,2020-09-19,360.2,393.7,48.64260313846341
743103,61549,34.457,-117.98299999999999,2020-09-19,243.3,380.9,51.007611844905554
743104,61550,34.373000000000005,-117.869,2020-09-19,178.4,369.4,49.60970623802047
743106,61552,34.398,-117.77799999999999,2020-09-19,360.5,392.2,57.56560081698671
743107,61553,34.39,-117.96799999999999,2020-09-19,64.1,346.0,45.32917005338277
743109,61555,34.415,-117.82600000000001,2020-09-19,42.2,337.2,55.712508943217685
743110,61556,34.463,-117.994,2020-09-19,246.9,381.6,51.13539499681294
743111,61557,34.452,-117.992,2020-09-19,370.5,396.6,50.13040335907897
743113,61559,34.406,-117.81,2020-09-19,31.2,331.5,56.030872778854096
743114,61560,34.407,-117.796,2020-09-19,261.8,381.2,57.03126774763328
743115,61561,34.403,-117.84100000000001,2020-09-19,122.7,358.8,53.79656476565631
743116,61562,34.409,-117.779,2020-09-19,325.4,388.6,58.320737006603814
743119,61565,34.413000000000004,-117.84200000000001,2020-09-19,205.0,374.0,54.54488154303008
743120,61566,34.459,-117.96600000000001,2020-09-19,46.1,339.4,51.953870408818794
743121,61567,34.454,-117.976,2020-09-19,92.6,354.2,51.02081183812953
743123,61569,34.418,-118.00299999999999,2020-09-19,283.0,386.4,46.31870683998374
743124,61570,34.391999999999996,-117.84200000000001,2020-09-19,46.5,337.3,52.85319493673448
743126,61572,34.4,-117.762,2020-09-19,121.4,356.3,58.81433513643456
743129,61575,34.354,-117.944,2020-09-19,36.3,333.7,43.43961104538123
743130,61576,34.464,-117.978,2020-09-19,199.1,374.3,51.910442981260815
743133,61579,34.45,-118.007,2020-09-19,171.2,370.5,49.30931056239978
743134,61580,34.468,-117.984,2020-09-19,61.2,343.9,52.0478709361645
743137,61583,34.2,-117.883,2020-09-19,95.0,354.0,37.058092831368434
743138,61584,34.455,-117.99799999999999,2020-09-19,221.7,378.1,50.17571395637845
743140,61586,34.202,-117.865,2020-09-19,47.2,338.9,38.64548646989319
743142,61588,34.205999999999996,-117.874,2020-09-19,118.6,358.9,38.0964542900885
743143,61589,34.363,-117.866,2020-09-19,368.2,394.3,49.012468130640066
743148,61594,34.361,-117.881,2020-09-19,411.0,398.7,47.88467058544766
743149,61595,34.429,-118.00399999999999,2020-09-19,321.5,391.1,47.35355414616559
743151,61597,34.333,-117.94200000000001,2020-09-19,24.9,327.6,41.78520863973773
743152,61598,34.205,-117.891,2020-09-19,42.1,338.6,36.65308929931491
743153,61599,34.418,-117.796,2020-09-19,50.5,338.7,57.88274141715968
743242,61688,34.485,-117.98700000000001,2020-09-20,45.1,302.2,53.61210144757524
743244,61690,34.407,-117.991,2020-09-20,74.9,308.6,45.79838483865735
743246,61692,34.391,-117.985,2020-09-20,59.5,306.0,44.56736309288304
743248,61694,34.441,-118.016,2020-09-20,147.1,320.0,48.04725254862413
743250,61696,34.394,-117.98899999999999,2020-09-20,60.9,305.8,44.65557547636776
743251,61697,34.469,-117.978,2020-09-20,59.0,305.4,52.401488404773325
743252,61698,34.454,-118.01700000000001,2020-09-20,86.3,311.4,49.31315639475397
743253,61699,34.457,-118.023,2020-09-20,51.4,303.7,49.38644215392325
743254,61700,34.41,-117.99799999999999,2020-09-20,88.6,311.4,45.76480260898926
743255,61701,34.438,-118.01,2020-09-20,114.2,316.0,47.991752884174126
743259,61705,34.391999999999996,-117.839,2020-09-20,37.5,300.5,53.046428968469975
743277,61723,34.448,-118.008,2020-09-20,83.1,308.4,49.069228620993215
743278,61724,34.365,-117.866,2020-09-20,142.6,317.1,49.16933749121913
743279,61725,34.367,-117.811,2020-09-20,137.6,315.7,53.01188688895006
743280,61726,34.365,-117.86,2020-09-20,172.3,320.6,49.560863048628846
743281,61727,34.414,-117.963,2020-09-20,165.1,321.3,47.81012463638271
743282,61728,34.412,-118.01,2020-09-20,423.5,342.9,45.42588909082679
743283,61729,34.367,-117.816,2020-09-20,174.6,320.1,52.66744517615149
743284,61730,34.361,-117.961,2020-09-20,69.6,306.6,43.08175701814284
743285,61731,34.414,-117.959,2020-09-20,93.5,311.7,48.009721314484324
743286,61732,34.412,-118.006,2020-09-20,471.2,345.6,45.6010684959694
743287,61733,34.36,-117.955,2020-09-20,90.7,309.5,43.32930056133558
743288,61734,34.446999999999996,-118.00299999999999,2020-09-20,66.4,306.0,49.174678546555704
743312,61758,34.422,-118.00200000000001,2020-09-20,17.2,307.0,46.75341576851736
743313,61759,34.421,-117.99600000000001,2020-09-20,20.2,309.5,46.920992061194696
743320,61766,34.446999999999996,-118.03,2020-09-20,65.2,330.8,48.1086075801492
743326,61772,34.359,-117.95,2020-09-20,15.2,304.0,43.52556028648056
743328,61774,34.41,-118.001,2020-09-20,153.8,354.2,45.629223451643604
743329,61775,34.369,-117.822,2020-09-20,44.3,322.9,52.40544208637874
743333,61779,34.395,-117.96700000000001,2020-09-20,59.2,328.6,45.841793041080386
743343,61789,34.446,-118.01299999999999,2020-09-20,59.4,328.8,48.66774367359111
743345,61791,34.409,-117.98299999999999,2020-09-20,98.1,341.3,46.366172155097885
743346,61792,34.397,-117.984,2020-09-20,25.8,312.5,45.181184773413904
743350,61796,34.457,-118.01100000000001,2020-09-20,11.6,301.8,49.849849244439625
743351,61797,34.357,-117.93,2020-09-20,12.4,301.7,44.521434238083295
743495,61941,34.359,-117.948,2020-09-20,63.0,352.7,43.639998913394926
743515,61961,34.435,-118.016,2020-09-20,37.6,343.2,47.447782732933675
743521,61967,34.438,-118.039,2020-09-20,37.4,342.3,46.85857359312977
743534,61980,34.391,-117.98,2020-09-20,209.5,391.2,44.814555763372255
743556,62002,34.348,-117.939,2020-09-20,33.7,338.5,43.22347195828508
743578,62024,34.356,-117.825,2020-09-20,44.0,343.4,51.23877843580381
743580,62026,34.365,-117.823,2020-09-20,65.9,352.9,52.03956406870707
743598,62044,34.46,-117.999,2020-09-20,10.9,327.9,50.631719591434916
743599,62045,34.436,-118.02799999999999,2020-09-20,245.4,397.7,47.07215190076564
743609,62055,34.402,-117.99,2020-09-20,17.6,330.2,45.367614204461816
743622,62068,34.389,-117.969,2020-09-20,38.2,342.5,45.18560882205368
