,Unnamed: 0,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
183,183,2016-07-02,17,5,0.0,1015,25
184,184,2016-07-03,15,3,0.0,1019,19
185,185,2016-07-04,14,5,0.0,1020,16
186,186,2016-07-05,13,6,0.1,1019,16
187,187,2016-07-06,16,5,0.0,1016,24
188,188,2016-07-07,15,12,0.0,1013,19
189,189,2016-07-08,16,14,0.0,1011,19
190,190,2016-07-09,15,14,0.0,1014,20
191,191,2016-07-10,15,3,0.3,1015,21
192,192,2016-07-11,15,7,0.0,1017,19
193,193,2016-07-12,16,8,0.0,1017,24
194,194,2016-07-13,16,7,0.0,1022,24
195,195,2016-07-14,16,6,0.0,1022,24
196,196,2016-07-15,15,4,0.0,1019,24
197,197,2016-07-16,16,4,0.0,1017,21
198,198,2016-07-17,17,7,0.0,1017,25
199,199,2016-07-18,17,6,0.0,1017,26
200,200,2016-07-19,17,9,0.0,1017,26
201,201,2016-07-20,17,9,0.0,1017,24
202,202,2016-07-21,17,7,0.0,1016,26
203,203,2016-07-22,17,6,0.0,1017,25
204,204,2016-07-23,16,7,0.0,1018,24
205,205,2016-07-24,18,10,0.0,1017,26
206,206,2016-07-25,18,7,0.0,1017,27
207,207,2016-07-26,19,6,0.1,1017,27
208,208,2016-07-27,18,7,0.0,1018,22
209,209,2016-07-28,19,11,0.0,1018,28
210,210,2016-07-29,20,8,0.0,1014,30
211,211,2016-07-30,16,8,0.0,1012,24
212,212,2016-07-31,15,7,0.0,1016,25
213,213,2016-08-01,15,4,0.0,1017,27
214,214,2016-08-02,14,4,1.9,1020,17
215,215,2016-08-03,16,5,0.0,1022,25
216,216,2016-08-04,17,13,0.0,1016,26
217,217,2016-08-05,16,9,0.0,1012,26
218,218,2016-08-06,14,7,0.0,1013,20
219,219,2016-08-07,14,13,0.0,1013,17
220,220,2016-08-08,15,2,0.0,1014,20
221,221,2016-08-09,15,8,0.0,1016,19
222,222,2016-08-10,16,5,0.0,1018,24
223,223,2016-08-11,17,11,0.0,1019,26
224,224,2016-08-12,20,10,0.0,1018,30
225,225,2016-08-13,20,6,0.0,1015,28
226,226,2016-08-14,18,5,0.0,1015,26
227,227,2016-08-15,17,4,0.0,1018,29
228,228,2016-08-16,17,5,0.0,1018,26
229,229,2016-08-17,17,9,0.0,1017,26
230,230,2016-08-18,19,15,0.0,1016,26
231,231,2016-08-19,22,10,0.0,1017,31
232,232,2016-08-20,20,4,0.0,1012,29
233,233,2016-08-21,16,13,0.0,1011,20
234,234,2016-08-22,14,6,0.0,1017,19
235,235,2016-08-23,15,11,0.0,1021,25
236,236,2016-08-24,18,12,0.0,1023,26
237,237,2016-08-25,18,7,0.0,1019,23
238,238,2016-08-26,20,3,0.0,1012,28
239,239,2016-08-27,16,16,0.0,1011,18
240,240,2016-08-28,14,5,0.0,1018,20
241,241,2016-08-29,16,5,0.0,1016,26
242,242,2016-08-30,13,6,0.0,1016,14
243,243,2016-08-31,14,8,0.0,1015,16
244,244,2016-09-01,14,9,0.0,1016,16
245,245,2016-09-02,14,13,0.1,1015,17
246,246,2016-09-03,13,3,0.0,1015,19
247,247,2016-09-04,12,6,0.0,1014,19
248,248,2016-09-05,13,11,0.0,1015,17
249,249,2016-09-06,14,3,0.0,1014,18
250,250,2016-09-07,14,9,0.0,1020,18
251,251,2016-09-08,14,5,0.0,1023,19
252,252,2016-09-09,14,5,0.0,1025,24
253,253,2016-09-10,16,4,0.0,1018,26
254,254,2016-09-11,14,8,0.0,1020,19
255,255,2016-09-12,14,14,0.0,1021,24
256,256,2016-09-13,15,9,0.0,1017,25
257,257,2016-09-14,15,6,0.0,1017,25
258,258,2016-09-15,13,3,0.0,1020,24
259,259,2016-09-16,15,8,0.0,1016,24
260,260,2016-09-17,14,24,0.0,1012,16
261,261,2016-09-18,14,8,0.0,1017,19
262,262,2016-09-19,13,16,0.0,1019,17
263,263,2016-09-20,12,9,0.0,1019,18
264,264,2016-09-21,12,13,0.0,1016,18
265,265,2016-09-22,12,9,0.0,1016,19
